Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,84.764,68.428,0.0080078125,1382.4,5
Aktualizacja (Update),2,1,105.0475,67.33749999999999,0.0240234375,1239.0400000000004,4
Aktualizacja (Update),4,1,36.28111111111111,66.43666666666667,0.019921875,1095.6800000000003,9
Odczyt (Read),1,1,78.165,59.305,0.0,256.0,2
Odczyt (Read),2,1,148.17,57.87,0.0,0.0,1
Odczyt (Read),4,1,173.3,21.56,0.0,0.0,1
Usuwanie (Delete),1,1,98.28,43.43,0.0,215.0399999999995,2
Usuwanie (Delete),2,1,155.17,60.71,0.0,0.0,1
Usuwanie (Delete),4,1,95.885,66.535,0.0,92.15999999999984,2
Zapis (Insert),1,1,92.95,58.045,0.0,1054.72,4
Zapis (Insert),2,1,129.5925,58.865,0.0040039062499999,1146.88,4
Zapis (Insert),4,1,126.01666666666668,50.34333333333333,0.0200195312499999,880.6399999999999,3
