Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,102.02,702.9,0.0,0.0,1
Aktualizacja (Update),1,2,102.015,758.7,0.0,0.0,2
Aktualizacja (Update),1,4,101.246,811.8599999999999,0.0,1024.0,5
Aktualizacja (Update),1,8,102.9076923076923,983.770153846154,0.0,3072.0,13
Aktualizacja (Update),2,1,139.19,698.6,0.0,307.1999999999971,2
Aktualizacja (Update),2,2,168.36,719.3,0.0,307.1999999999971,2
Aktualizacja (Update),2,4,176.31333333333336,769.7666666666668,0.0,1433.5999999999913,3
Aktualizacja (Update),2,8,181.54142857142853,909.657142857143,0.0,1433.6000000000058,7
Aktualizacja (Update),4,1,161.22,664.0,0.0,0.0,1
Aktualizacja (Update),4,2,138.51999999999998,689.3,0.0,512.0,2
Aktualizacja (Update),4,4,226.79,773.8333333333334,0.0,1433.5999999999913,3
Aktualizacja (Update),4,8,247.355,949.8833333333332,0.0,1331.199999999997,6
Odczyt (Read),1,1,91.51,726.6,0.0,0.0,1
Odczyt (Read),1,2,96.625,765.55,0.0,0.0,2
Odczyt (Read),1,4,100.705,735.65,0.0,0.0,2
Odczyt (Read),1,8,102.09571428571428,882.3571428571429,0.0,0.0,7
Odczyt (Read),2,1,127.67,680.7,0.0,0.0,1
Odczyt (Read),2,2,168.91,719.5,0.0,0.0,1
Odczyt (Read),2,4,205.44,682.6,0.0,0.0,1
Odczyt (Read),2,8,207.96666666666667,831.3000000000001,0.0,0.0,3
Odczyt (Read),4,1,187.45,685.6,0.0,0.0,1
Odczyt (Read),4,2,212.36,724.0,0.0,0.0,1
Odczyt (Read),4,4,266.88,686.1,0.0,0.0,1
Odczyt (Read),4,8,331.1033333333333,937.3666666666668,0.0,102.40000000000872,3
Usuwanie (Delete),1,1,86.52,707.3,0.0,0.0,1
Usuwanie (Delete),1,2,98.945,759.25,0.0,1024.0,2
Usuwanie (Delete),1,4,102.91,792.55,0.0,1024.0,4
Usuwanie (Delete),1,8,100.1509090909091,936.0138181818182,0.0,2048.0,11
Usuwanie (Delete),2,1,150.71,716.5,0.0,0.0,1
Usuwanie (Delete),2,2,166.11,756.05,0.0,204.8000000000029,2
Usuwanie (Delete),2,4,186.33333333333331,795.7333333333332,0.0,1331.199999999997,3
Usuwanie (Delete),2,8,171.91,887.8000000000001,0.0,1740.800000000003,6
Usuwanie (Delete),4,1,166.92,681.8,0.0,0.0,1
Usuwanie (Delete),4,2,136.2,647.9,0.0,0.0,1
Usuwanie (Delete),4,4,183.945,725.8,0.0,1228.7999999999884,2
Usuwanie (Delete),4,8,241.39166666666668,896.7833333333333,0.0,2457.600000000006,6
Zapis (Insert),1,1,95.73,704.4,0.0,0.0,1
Zapis (Insert),1,2,102.82,739.65,0.0,0.0,2
Zapis (Insert),1,4,101.075,793.85,0.0,0.0,4
Zapis (Insert),1,8,101.272,932.81,0.0,2048.0,10
Zapis (Insert),2,1,120.58,649.4,0.0,0.0,1
Zapis (Insert),2,2,155.465,720.1,0.0,204.8000000000029,2
Zapis (Insert),2,4,174.82333333333335,798.1,0.0,1331.199999999997,3
Zapis (Insert),2,8,171.46142857142857,908.657142857143,13.0,2662.399999999994,7
Zapis (Insert),4,1,123.84,664.3,0.0,0.0,1
Zapis (Insert),4,2,183.265,725.1,0.0,204.8000000000029,2
Zapis (Insert),4,4,210.03500000000005,754.9,0.0,409.59999999999127,2
Zapis (Insert),4,8,175.41400000000002,914.54,0.0,1024.0,5
