Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,97.79,77.49,0.0,0.0,1
Aktualizacja (Update),1,2,100.41,92.12,0.0,0.0,1
Aktualizacja (Update),1,4,72.86,123.68666666666668,0.0,18.0,3
Aktualizacja (Update),1,8,86.6625,198.475,0.0,36.0,4
Aktualizacja (Update),2,1,157.11,69.29,0.0,0.0,1
Aktualizacja (Update),2,2,187.33,71.69,0.0,0.0,1
Aktualizacja (Update),2,4,196.28,97.795,0.0,45.0,2
Aktualizacja (Update),2,8,193.26,152.53333333333333,0.0,39.0,3
Aktualizacja (Update),4,1,189.34,82.3,0.0,0.0,1
Aktualizacja (Update),4,2,219.59,81.21,0.0,0.0,1
Aktualizacja (Update),4,4,345.36,95.3,0.0,0.0,1
Aktualizacja (Update),4,8,424.54,73.53,0.0,0.0,1
Odczyt (Read),1,1,88.68,76.67,0.0,0.0,1
Odczyt (Read),1,2,99.84,100.7,0.0,0.0,1
Odczyt (Read),1,4,97.245,141.8,0.0,0.0,2
Odczyt (Read),1,8,100.445,193.575,0.0,57.0,4
Odczyt (Read),2,1,116.12,37.38,0.0,0.0,1
Odczyt (Read),2,2,187.33,71.69,0.0,0.0,1
Odczyt (Read),2,4,190.36,46.8,0.0,0.0,1
Odczyt (Read),2,8,200.27,160.3,0.0,0.0,2
Odczyt (Read),4,1,245.27,53.55,0.0,0.0,1
Odczyt (Read),4,2,219.59,81.21,0.0,0.0,1
Odczyt (Read),4,4,345.36,95.3,0.0,0.0,1
Odczyt (Read),4,8,412.065,149.515,0.0,33.0,2
Usuwanie (Delete),1,1,97.33,101.0,0.0,0.0,1
Usuwanie (Delete),1,2,101.15,97.66,0.0,0.0,1
Usuwanie (Delete),1,4,69.74666666666667,135.1966666666667,0.0,29.0,3
Usuwanie (Delete),1,8,94.182,177.42000000000002,0.0,97.0,5
Usuwanie (Delete),2,1,157.11,69.29,0.0,0.0,1
Usuwanie (Delete),2,2,192.76,101.1,0.0,0.0,1
Usuwanie (Delete),2,4,195.56,109.795,0.0,0.0,2
Usuwanie (Delete),2,8,178.20333333333335,164.64333333333337,0.0,63.0,3
Usuwanie (Delete),4,1,189.34,82.3,0.0,0.0,1
Usuwanie (Delete),4,2,319.24,131.4,0.0,0.0,1
Usuwanie (Delete),4,4,306.045,141.135,0.0,15.0,2
Usuwanie (Delete),4,8,209.155,140.43,0.0,57.0,2
Zapis (Insert),1,1,94.23,69.35,0.0,0.0,1
Zapis (Insert),1,2,98.585,100.85,0.0,9.500000000000004,2
Zapis (Insert),1,4,81.27666666666666,120.5,0.0,38.0,3
Zapis (Insert),1,8,87.42750000000001,181.14,0.0,76.0,4
Zapis (Insert),2,1,163.15,52.09,0.0,0.0,1
Zapis (Insert),2,2,171.21,55.77,0.0,0.0,1
Zapis (Insert),2,4,176.78500000000005,77.65,0.0,0.0,2
Zapis (Insert),2,8,171.01333333333332,167.1,0.0,76.0,3
Zapis (Insert),4,1,237.93,53.48,0.0,0.0,1
Zapis (Insert),4,2,281.23,74.94,0.0,0.0,1
Zapis (Insert),4,4,364.43,90.69,0.0,0.0,1
Zapis (Insert),4,8,395.965,219.65,0.0,61.0,2
