Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,499.62216,2.0015125,1.9699465,2.2467096,2.7717562
Aktualizacja (Update),1,2,958.7493,2.0857468,2.035145,2.378631,3.4336817
Aktualizacja (Update),1,4,1823.3679,2.1921406,2.1010413,2.5730798,4.5965066
Aktualizacja (Update),1,8,3028.8337,2.6212127,2.300897,3.9378924,6.8142705
Aktualizacja (Update),2,1,494.57416,2.0219414,1.984582,2.2712965,2.8638487
Aktualizacja (Update),2,2,919.7144,2.1733122,2.054354,3.25956,3.9700732
Aktualizacja (Update),2,4,1808.481,2.208705,2.0833385,3.041316,4.6499286
Aktualizacja (Update),2,8,3148.5322,2.5285048,2.319058,3.9143395,5.8521266
Aktualizacja (Update),4,1,498.66986,2.0053349,1.971722,2.2689893,2.84967
Aktualizacja (Update),4,2,928.44434,2.1528478,2.0324507,3.147297,3.8559656
Aktualizacja (Update),4,4,1793.6272,2.2285485,2.099046,3.2200975,4.7334623
Aktualizacja (Update),4,8,3205.4211,2.4852788,2.220572,3.9743207,7.2676983
Odczyt (Read),1,1,2495.8647,0.40066272,0.382249,0.48421898,0.5897671
Odczyt (Read),1,2,4169.4756,0.47582135,0.453069,0.591016,0.8274463
Odczyt (Read),1,4,6157.6514,0.6460785,0.586399,0.7797265,1.9058574
Odczyt (Read),1,8,7682.435,1.0297636,0.920805,1.2433425,2.912089
Odczyt (Read),2,1,2550.1755,0.39212987,0.377849,0.4572635,0.59485173
Odczyt (Read),2,2,4332.8906,0.4612956,0.428765,0.5861236,0.80123955
Odczyt (Read),2,4,6678.1978,0.59250194,0.5554595,0.74012744,1.7123711
Odczyt (Read),2,8,8230.204,0.9668048,0.908445,1.220082,2.8680248
Odczyt (Read),4,1,2421.2456,0.41301054,0.386717,0.50789845,0.62621886
Odczyt (Read),4,2,4308.0547,0.46410117,0.4386455,0.59380454,0.7917424
Odczyt (Read),4,4,6864.818,0.5751473,0.541,0.717918,1.6628107
Odczyt (Read),4,8,8480.8,0.9377553,0.876593,1.178312,2.8536258
Usuwanie (Delete),1,1,507.01172,1.9723411,1.9355145,2.2192605,3.0807862
Usuwanie (Delete),1,2,962.19666,2.0776815,2.0049036,2.4092288,3.790233
Usuwanie (Delete),1,4,1774.2367,2.251251,2.068251,3.0684006,5.2510095
Usuwanie (Delete),1,8,3034.35,2.6282725,2.2574897,3.9981465,7.7763124
Usuwanie (Delete),2,1,500.66556,1.9973414,1.960346,2.2466357,3.212447
Usuwanie (Delete),2,2,964.9768,2.0713937,1.999528,2.392875,3.7847326
Usuwanie (Delete),2,4,1857.2197,2.1519403,2.021807,2.846099,4.5059776
Usuwanie (Delete),2,8,3153.0388,2.5278804,2.2549777,4.000522,7.221783
Usuwanie (Delete),4,1,499.09763,2.003616,1.969418,2.244059,3.1524274
Usuwanie (Delete),4,2,967.4017,2.066876,1.994002,2.4224439,3.8432167
Usuwanie (Delete),4,4,1837.3362,2.1739883,2.0377245,2.847988,4.6560764
Usuwanie (Delete),4,8,3187.9985,2.4967833,2.258218,3.9880128,6.025962
Zapis (Insert),1,1,492.4938,2.0304825,1.990935,2.2981756,3.023244
Zapis (Insert),1,2,953.9757,2.0956473,2.0424786,2.3801715,3.642504
Zapis (Insert),1,4,1780.108,2.246134,2.1030319,3.1023583,4.8061137
Zapis (Insert),1,8,2824.5154,2.824641,2.321919,4.497601,9.200909
Zapis (Insert),2,1,495.46402,2.01831,1.979064,2.299105,2.8940816
Zapis (Insert),2,2,936.9879,2.133532,2.033401,2.4074519,3.8098164
Zapis (Insert),2,4,1770.8931,2.25636,2.093117,3.1299365,4.6455374
Zapis (Insert),2,8,3067.0288,2.5937002,2.334633,4.066111,6.028419
Zapis (Insert),4,1,486.46182,2.0556598,1.9903004,2.316339,3.3604069
Zapis (Insert),4,2,959.1812,2.0843136,2.0327296,2.3776574,3.5799878
Zapis (Insert),4,4,1740.9044,2.297039,2.115318,3.4555364,4.8504467
Zapis (Insert),4,8,3113.6465,2.5538125,2.316745,4.004845,5.9499054
