Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,46.03666666666667,22.25333333333333,117.78666666666668,26.116666666666664,0.0,0.0,3
Aktualizacja (Update),1,2,73.09,24.663333333333338,160.06,41.93666666666667,0.0,0.0,3
Aktualizacja (Update),1,4,75.4175,29.0025,225.6025,85.10249999999999,0.0,0.0,4
Aktualizacja (Update),1,8,98.268,37.21,260.51,184.92,0.0,0.0,5
Aktualizacja (Update),2,1,46.923333333333325,29.456666666666667,68.10666666666667,25.37,0.0,0.0,3
Aktualizacja (Update),2,2,79.19666666666666,32.31666666666667,75.15666666666668,50.07333333333333,0.0,0.0,3
Aktualizacja (Update),2,4,75.85,36.6875,242.5875,87.1175,0.0999999999999996,0.0,4
Aktualizacja (Update),2,8,85.674,44.966,575.268,189.06,0.0,14.1,5
Aktualizacja (Update),4,1,46.01,37.9,148.86,65.53,0.0,0.0,3
Aktualizacja (Update),4,2,73.76333333333334,41.23666666666667,152.95000000000002,89.77333333333333,0.0,0.0,3
Aktualizacja (Update),4,4,76.99,57.212,226.076,118.212,0.0,0.0,5
Aktualizacja (Update),4,8,115.1925,73.3475,355.0325,228.575,0.0,0.0,4
Odczyt (Read),1,1,43.57,22.14,163.725,26.025,0.0,0.0,2
Odczyt (Read),1,2,59.66666666666666,24.72666666666667,256.97333333333336,49.45,0.0,0.0,3
Odczyt (Read),1,4,56.31333333333333,28.986666666666668,270.98,96.15,0.0,0.0,3
Odczyt (Read),1,8,60.706,36.262,518.966,182.34,0.0,0.0,5
Odczyt (Read),2,1,39.445,29.02,167.315,26.04,0.0,0.0,2
Odczyt (Read),2,2,76.75,32.55,91.44,50.45,0.0,0.0,2
Odczyt (Read),2,4,72.09666666666666,36.82666666666666,336.0,65.56533333333333,0.0,0.0,3
Odczyt (Read),2,8,71.3025,44.7925,464.415,170.775,0.0,0.0,4
Odczyt (Read),4,1,36.48,37.525,115.965,65.38499999999999,0.0,0.0,2
Odczyt (Read),4,2,67.24666666666667,41.14333333333334,243.25666666666663,89.69333333333333,0.0,0.0,3
Odczyt (Read),4,4,78.88666666666667,44.39666666666667,276.2133333333333,135.76666666666665,0.0,0.0,3
Odczyt (Read),4,8,74.4175,72.6375,459.225,221.375,0.0,0.0,4
Usuwanie (Delete),1,1,46.5,22.68,86.64666666666666,32.53666666666667,0.0,0.0,3
Usuwanie (Delete),1,2,60.723333333333336,25.040000000000003,200.9633333333333,63.84666666666666,0.0,0.0,3
Usuwanie (Delete),1,4,72.925,28.9775,278.73,105.71,0.0,0.0,4
Usuwanie (Delete),1,8,90.862,37.434000000000005,345.01,171.294,0.0,23.4,5
Usuwanie (Delete),2,1,45.84666666666666,29.23333333333333,140.22333333333333,33.26,0.0,0.0,3
Usuwanie (Delete),2,2,80.86666666666667,32.64,86.50333333333333,50.25,0.0,13.092001953125,3
Usuwanie (Delete),2,4,71.4375,36.8675,364.1425,112.8,0.0,0.0,4
Usuwanie (Delete),2,8,79.436,45.098,412.202,156.884,0.0,0.0,5
Usuwanie (Delete),4,1,51.98,38.36,135.83666666666667,73.58999999999999,0.0,0.0,3
Usuwanie (Delete),4,2,68.76,41.153333333333336,88.16333333333334,91.54666666666668,0.0,0.0,3
Usuwanie (Delete),4,4,68.4175,65.4925,425.5425,156.875,0.0,0.0,4
Usuwanie (Delete),4,8,94.418,74.07000000000001,374.516,196.042,0.0,0.6999999999999957,5
Zapis (Insert),1,1,51.85,21.77333333333333,198.00666666666663,26.76333333333333,0.0,0.0,3
Zapis (Insert),1,2,74.87333333333333,23.826666666666668,113.56,33.970666666666666,0.0,0.0,3
Zapis (Insert),1,4,82.9975,26.8025,260.58750000000003,95.8925,0.0,0.0,4
Zapis (Insert),1,8,76.18499999999999,32.22666666666667,472.71,187.28333333333333,0.0,25.1,6
Zapis (Insert),2,1,49.39000000000001,28.683333333333334,200.08333333333331,27.040000000000003,0.0,0.0,3
Zapis (Insert),2,2,78.03666666666668,30.17,122.44333333333334,50.14666666666667,0.0,0.0,3
Zapis (Insert),2,4,90.865,34.6525,287.35,96.695,0.0,0.0,4
Zapis (Insert),2,8,113.9875,39.88,339.9575,190.325,0.0,24.7,4
Zapis (Insert),4,1,44.99333333333333,36.73666666666667,199.25333333333333,65.90666666666667,0.0,0.0,3
Zapis (Insert),4,2,68.67666666666666,39.22,78.60000000000001,85.07666666666667,0.0,0.0,3
Zapis (Insert),4,4,80.87,42.78,327.6,135.32500000000002,0.0,0.0,4
Zapis (Insert),4,8,120.71,68.41499999999999,270.7325,199.55,0.0,0.0,4
