Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,2181.751,0.4583474,0.42828548,0.7511534,0.8999614
Aktualizacja (Update),1,2,3973.6404,0.50196666,0.480293,0.76801115,0.9068192
Aktualizacja (Update),1,4,5883.677,0.6774208,0.63417554,1.00179,1.2473673
Aktualizacja (Update),1,8,8830.985,0.9039544,0.7022745,1.1986021,1.8811314
Aktualizacja (Update),2,1,2316.6277,0.4316619,0.39874548,0.69718426,0.8378424
Aktualizacja (Update),2,2,4150.136,0.48134926,0.460445,0.7213611,0.853346
Aktualizacja (Update),2,4,7526.9634,0.52863634,0.507091,0.81445706,0.98669636
Aktualizacja (Update),2,8,11518.1045,0.6932105,0.66557,1.104355,1.344854
Aktualizacja (Update),4,1,2301.841,0.4344349,0.3983945,0.70759916,0.854832
Aktualizacja (Update),4,2,4039.141,0.49426147,0.473424,0.743249,0.87815374
Aktualizacja (Update),4,4,7332.5835,0.5408859,0.5200135,0.83102906,0.9983601
Aktualizacja (Update),4,8,11266.404,0.7071436,0.6787385,1.1214972,1.367958
Odczyt (Read),1,1,3322.6572,0.30096394,0.25809,0.523933,0.657334
Odczyt (Read),1,2,6186.2407,0.32217658,0.2993325,0.5080901,0.62207985
Odczyt (Read),1,4,7612.771,0.52312136,0.4559085,0.94518304,1.5430921
Odczyt (Read),1,8,11232.911,0.7097675,0.613538,1.0147221,1.4030582
Odczyt (Read),2,1,3592.6045,0.2783496,0.23673749,0.47202122,0.5990874
Odczyt (Read),2,2,6278.519,0.31811184,0.2946205,0.49711505,0.6073423
Odczyt (Read),2,4,9944.576,0.40168366,0.37739098,0.6395061,0.767267
Odczyt (Read),2,8,13932.721,0.5713502,0.53611445,0.9023021,1.1400905
Odczyt (Read),4,1,3461.0251,0.28893173,0.24316,0.49999174,0.62478054
Odczyt (Read),4,2,6122.8433,0.326176,0.304098,0.51016974,0.6237231
Odczyt (Read),4,4,9726.273,0.40953586,0.384258,0.65309817,0.7821841
Odczyt (Read),4,8,13740.792,0.5808395,0.5476615,0.91590905,1.154536
Usuwanie (Delete),1,1,2167.3564,0.46139157,0.427633,0.7698244,0.9481423
Usuwanie (Delete),1,2,4126.4785,0.484548,0.464046,0.7351262,0.8740032
Usuwanie (Delete),1,4,6388.234,0.62361264,0.551728,0.89423627,1.1764432
Usuwanie (Delete),1,8,9078.536,0.8797735,0.693686,1.185135,1.7651163
Usuwanie (Delete),2,1,2352.7942,0.42502657,0.3898155,0.68829465,0.8274257
Usuwanie (Delete),2,2,4194.6733,0.47615755,0.455366,0.7164477,0.8513814
Usuwanie (Delete),2,4,7639.7524,0.52124095,0.4993135,0.80697423,0.97937465
Usuwanie (Delete),2,8,11379.455,0.70038646,0.674519,1.1136191,1.3498892
Usuwanie (Delete),4,1,2299.9014,0.43480122,0.399014,0.71095073,0.8552636
Usuwanie (Delete),4,2,4085.6357,0.4891606,0.468037,0.7397598,0.8753623
Usuwanie (Delete),4,4,7439.8164,0.535154,0.5141045,0.8225016,0.9920441
Usuwanie (Delete),4,8,11070.833,0.7211609,0.6943145,1.1416043,1.3838667
Zapis (Insert),1,1,2280.0942,0.4385784,0.405198,0.70988166,0.8612788
Zapis (Insert),1,2,3895.2542,0.5130651,0.4916125,0.78415734,0.9321162
Zapis (Insert),1,4,6187.068,0.6404709,0.576851,0.9614131,1.2569156
Zapis (Insert),1,8,7966.778,1.0016116,0.778028,1.30887,16.63339
Zapis (Insert),2,1,2270.6675,0.44039914,0.405944,0.7210205,0.87070805
Zapis (Insert),2,2,4122.976,0.48367113,0.462399,0.7257345,0.8601056
Zapis (Insert),2,4,7503.0947,0.53049076,0.5090155,0.8173914,0.98805606
Zapis (Insert),2,8,11506.445,0.69399375,0.665527,1.1056802,1.3567111
Zapis (Insert),4,1,2253.5315,0.44374797,0.408525,0.7222869,0.8756512
Zapis (Insert),4,2,4079.3323,0.4902593,0.469697,0.73395216,0.8688092
Zapis (Insert),4,4,7260.2583,0.54884124,0.5277,0.84213006,1.0098923
Zapis (Insert),4,8,11506.433,0.69367987,0.6644715,1.1052008,1.3504071
