Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,245084.9,0.0040802187,0.0033169927,0.006332004,0.010390999
Aktualizacja (Update),2,1,265179.72,0.0037710276,0.0032270036,0.006172995,0.010520991
Aktualizacja (Update),4,1,265598.03,0.0037650883,0.0032670067,0.0062420005,0.010360003
Odczyt (Read),1,1,530155.06,0.0018862406,0.0015029946,0.004949994,0.006764007
Odczyt (Read),2,1,518411.12,0.0019289709,0.0015429978,0.0050400123,0.006954011
Odczyt (Read),4,1,518662.0,0.001928038,0.0015229889,0.005080001,0.0069939997
Usuwanie (Delete),1,1,255964.06,0.0039067985,0.0029260118,0.0036880083,0.008105999
Usuwanie (Delete),2,1,314545.2,0.0031791935,0.002916,0.0035970006,0.007955997
Usuwanie (Delete),4,1,319069.03,0.0031341182,0.0027950008,0.0041079912,0.008345989
Zapis (Insert),1,1,231327.69,0.004322872,0.0030859956,0.0061419997,0.010461008
Zapis (Insert),2,1,264547.94,0.0037800332,0.0032370007,0.0063019977,0.010321004
Zapis (Insert),4,1,284521.4,0.003514674,0.0029960065,0.0059510055,0.010239993
