Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Dokument JSON: Zapis,4,8,307.0433333333333,201.4,0.0,0.0,3
Kolejka (push/pop),1,1,33.91710674157304,210.312191011236,51.0,24370.951953125,356
Kolejka (push/pop),1,2,51.70176229508196,328.7064139344262,18.0,48537.600000000006,488
Kolejka (push/pop),1,4,67.86863463969658,529.7557522123893,19.0,96972.8,791
Kolejka (push/pop),1,8,78.45345694531741,778.3627906976744,43.0,194560.0,1591
Kolejka (push/pop),2,1,29.599904076738607,197.82069544364504,35.85595703125,24370.4998046875,417
Kolejka (push/pop),2,2,46.6619152854512,290.6301104972376,16.4,48435.2,543
Kolejka (push/pop),2,4,54.67779182879377,484.2055447470817,16.5,96972.8,1028
Kolejka (push/pop),2,8,80.34107554417413,643.8003841229194,32.0,194560.0,1562
Kolejka (push/pop),4,1,30.94102189781022,199.4686618004866,35.95595703125,24368.98,411
Kolejka (push/pop),4,2,43.08267796610169,274.685813559322,0.1000000000000014,48537.600000000006,590
Kolejka (push/pop),4,4,54.499969666329626,474.6011830131446,19.10000000000001,96972.8,989
Kolejka (push/pop),4,8,67.01153133514987,558.025340599455,19.700000000000003,194560.0,1835
Mieszany (10W/90R),1,1,91.97,3023.872,0.0,0.0,1
Mieszany (10W/90R),1,2,96.03666666666668,3044.0106666666666,0.1000000000000014,0.0,3
Mieszany (10W/90R),1,4,99.411,3085.2096,0.0,1024.0,10
Mieszany (10W/90R),1,8,99.8796,3164.40576,4.099999999999998,0.0,25
Mieszany (10W/90R),2,1,122.46,2989.056,0.0,0.0,1
Mieszany (10W/90R),2,2,158.16,3039.914666666667,0.0,0.0,3
Mieszany (10W/90R),2,4,144.72666666666666,3064.1493333333333,0.0,0.0,6
Mieszany (10W/90R),2,8,150.3270588235294,3148.7397647058824,0.0,1024.0,17
Mieszany (10W/90R),4,1,142.57,3023.872,0.0,0.0,1
Mieszany (10W/90R),4,2,212.8,3056.64,0.0,0.0,2
Mieszany (10W/90R),4,4,141.12,3063.4666666666667,0.0,102.39999999999418,6
Mieszany (10W/90R),4,8,140.3064705882353,3155.1247058823533,4.0,614.4000000000087,17
Mieszany (50/50),1,1,91.97,3023.872,0.0,0.0,1
Mieszany (50/50),1,2,96.03666666666668,3044.0106666666666,0.1000000000000014,0.0,3
Mieszany (50/50),1,4,99.411,3085.2096,0.0,1024.0,10
Mieszany (50/50),1,8,99.8796,3164.40576,4.099999999999998,0.0,25
Mieszany (50/50),2,1,122.46,2989.056,0.0,0.0,1
Mieszany (50/50),2,2,158.16,3039.914666666667,0.0,0.0,3
Mieszany (50/50),2,4,144.72666666666666,3064.1493333333333,0.0,0.0,6
Mieszany (50/50),2,8,150.3270588235294,3148.7397647058824,0.0,1024.0,17
Mieszany (50/50),4,1,142.57,3023.872,0.0,0.0,1
Mieszany (50/50),4,2,212.8,3056.64,0.0,0.0,2
Mieszany (50/50),4,4,141.12,3063.4666666666667,0.0,102.39999999999418,6
Mieszany (50/50),4,8,140.3064705882353,3155.1247058823533,4.0,614.4000000000087,17
Mieszany (90W/10R),1,1,91.97,3023.872,0.0,0.0,1
Mieszany (90W/10R),1,2,96.03666666666668,3044.0106666666666,0.1000000000000014,0.0,3
Mieszany (90W/10R),1,4,99.411,3085.2096,0.0,1024.0,10
Mieszany (90W/10R),1,8,99.8796,3164.40576,4.099999999999998,0.0,25
Mieszany (90W/10R),2,1,122.46,2989.056,0.0,0.0,1
Mieszany (90W/10R),2,2,158.16,3039.914666666667,0.0,0.0,3
Mieszany (90W/10R),2,4,144.72666666666666,3064.1493333333333,0.0,0.0,6
Mieszany (90W/10R),2,8,150.3270588235294,3148.7397647058824,0.0,1024.0,17
Mieszany (90W/10R),4,1,142.57,3023.872,0.0,0.0,1
Mieszany (90W/10R),4,2,212.8,3056.64,0.0,0.0,2
Mieszany (90W/10R),4,4,141.12,3063.4666666666667,0.0,102.39999999999418,6
Mieszany (90W/10R),4,8,140.3064705882353,3155.1247058823533,4.0,614.4000000000087,17
