Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,84.16,42.36,0.0,0.0,1
Aktualizacja (Update),1,2,105.41,65.95,0.0,0.0,1
Aktualizacja (Update),1,4,98.87,101.43,0.0,22.0,2
Aktualizacja (Update),1,8,98.44333333333331,178.71666666666667,0.0,43.0,6
Aktualizacja (Update),2,1,99.53,20.71,0.0,0.0,1
Aktualizacja (Update),2,2,155.9,44.9,0.0,0.0,1
Aktualizacja (Update),2,4,190.41,96.32,0.0499999999999998,65.0,2
Aktualizacja (Update),2,8,193.7133333333333,193.13333333333333,0.0,52.0,3
Aktualizacja (Update),4,1,234.51,50.47,0.0,0.0,1
Aktualizacja (Update),4,2,221.94,55.79,0.0,0.0,1
Aktualizacja (Update),4,4,248.77,92.98,0.0,0.0,1
Aktualizacja (Update),4,8,387.5366666666667,148.03,0.0,33.0,3
Odczyt (Read),1,1,92.11,37.33,0.0,0.0,1
Odczyt (Read),1,2,86.16,24.97,0.0,0.0,1
Odczyt (Read),1,4,95.84,89.66,0.0,0.0,2
Odczyt (Read),1,8,101.04333333333334,162.96666666666667,0.0,0.0,3
Odczyt (Read),2,1,148.48,36.96,0.0,0.0,1
Odczyt (Read),2,2,155.9,44.9,0.0,0.0,1
Odczyt (Read),2,4,166.93,31.66,0.0,0.0,1
Odczyt (Read),2,8,181.125,165.8,0.0,0.0,2
Odczyt (Read),4,1,200.79,40.37,0.0,0.0,1
Odczyt (Read),4,2,282.35,55.86,0.0,0.0,1
Odczyt (Read),4,4,323.78,94.69,0.0,0.0,1
Odczyt (Read),4,8,402.63,191.35,0.0,42.0,2
Usuwanie (Delete),1,1,90.98,62.47,0.0,0.0,1
Usuwanie (Delete),1,2,84.59,70.185,0.0,9.0,2
Usuwanie (Delete),1,4,98.81333333333332,115.3,0.0,29.0,3
Usuwanie (Delete),1,8,92.29857142857144,170.28714285714287,0.0,92.0,7
Usuwanie (Delete),2,1,165.18,62.11,0.0,0.0,1
Usuwanie (Delete),2,2,162.69,66.24,0.0,0.0,1
Usuwanie (Delete),2,4,110.26,96.18,0.0,29.0,2
Usuwanie (Delete),2,8,153.6775,159.7225,0.0,58.0,4
Usuwanie (Delete),4,1,149.59,33.84,0.0,0.0,1
Usuwanie (Delete),4,2,191.67,67.06,0.0,0.0,1
Usuwanie (Delete),4,4,268.145,135.25,0.6799999999999997,0.0,2
Usuwanie (Delete),4,8,314.7033333333333,151.27,0.0,64.0,3
Zapis (Insert),1,1,77.22,12.28,0.0,0.0,1
Zapis (Insert),1,2,91.7,43.88,0.0,0.0,1
Zapis (Insert),1,4,77.47333333333334,89.53333333333335,0.0,38.2,3
Zapis (Insert),1,8,98.43714285714285,170.4857142857143,0.0,121.0,7
Zapis (Insert),2,1,104.92,10.83,0.0,0.0,1
Zapis (Insert),2,2,165.18,62.11,0.0,0.0,1
Zapis (Insert),2,4,183.29,69.43,0.2000000000000001,30.200000000000003,2
Zapis (Insert),2,8,162.51,146.0575,0.1,76.0,4
Zapis (Insert),4,1,174.84,18.79,0.0,0.0,1
Zapis (Insert),4,2,149.59,33.84,0.0,0.0,1
Zapis (Insert),4,4,218.35,100.215,0.7799999999999994,30.200000000000003,2
Zapis (Insert),4,8,322.3333333333333,181.5666666666667,0.8700000000000001,95.0,3
