Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,171589.56,0.0058278604,0.004789001,0.010301501,0.0201501
Aktualizacja (Update),1,2,45012.184,0.040205788,0.011903,0.08040495,0.14101684
Aktualizacja (Update),1,4,23255.246,0.15739734,0.0289405,0.23131356,0.3713058
Aktualizacja (Update),1,8,12820.873,0.5907955,0.094630495,0.41450608,0.70091337
Aktualizacja (Update),2,1,176382.06,0.0056695105,0.0047299983,0.00986955,0.019319398
Aktualizacja (Update),2,2,65958.375,0.030278724,0.015310001,0.09387745,0.14924341
Aktualizacja (Update),2,4,42049.723,0.093608886,0.044148,0.23356551,0.36447996
Aktualizacja (Update),2,8,24774.93,0.30498794,0.112742,0.38941437,0.59257805
Aktualizacja (Update),4,1,168594.14,0.005931404,0.004900001,0.010560998,0.0213232
Aktualizacja (Update),4,2,71322.75,0.02792327,0.0156255,0.083795995,0.13626881
Aktualizacja (Update),4,4,52708.688,0.071689755,0.040360004,0.22962305,0.34812844
Aktualizacja (Update),4,8,52911.31,0.14765991,0.1105685,0.3509464,0.5052782
Odczyt (Read),1,1,418249.16,0.0023909195,0.0018230003,0.0042794514,0.0108112
Odczyt (Read),1,2,238773.31,0.006135883,0.0023640005,0.008927998,0.03744491
Odczyt (Read),1,4,139411.05,0.018572029,0.0023350003,0.017335,0.08948081
Odczyt (Read),1,8,80631.336,0.073833555,0.0042680004,0.0706705,0.1659434
Odczyt (Read),2,1,416096.56,0.0024032884,0.0018639985,0.004198002,0.010611002
Odczyt (Read),2,2,433182.1,0.004576384,0.0024450019,0.009358052,0.05910831
Odczyt (Read),2,4,237255.0,0.013381843,0.0030660012,0.03942,0.1220825
Odczyt (Read),2,8,119732.71,0.05632583,0.0058820006,0.0876555,0.18144338
Odczyt (Read),4,1,417138.78,0.0023972834,0.0018530008,0.0043180007,0.010089009
Odczyt (Read),4,2,514550.12,0.003678038,0.0019239996,0.008236499,0.032745905
Odczyt (Read),4,4,490665.06,0.0072318083,0.0035269987,0.029768048,0.08016929
Odczyt (Read),4,8,278156.6,0.024953289,0.0052099987,0.07619105,0.1625312
Usuwanie (Delete),1,1,103551.27,0.009657051,0.0055210004,0.012465449,0.031499412
Usuwanie (Delete),1,2,30260.547,0.06134144,0.031563,0.12565051,0.20342296
Usuwanie (Delete),1,4,18435.29,0.20646948,0.041427,0.3133635,0.51956064
Usuwanie (Delete),1,8,10425.461,0.7252073,0.134783,0.54639876,1.115968
Usuwanie (Delete),2,1,89192.91,0.011211653,0.005730999,0.0116535025,0.021683102
Usuwanie (Delete),2,2,38246.703,0.05132001,0.0386415,0.12381655,0.1917726
Usuwanie (Delete),2,4,33635.875,0.10975899,0.0576245,0.29732823,0.4503631
Usuwanie (Delete),2,8,19004.4,0.39713597,0.150096,0.5169661,0.8177808
Usuwanie (Delete),4,1,103284.37,0.009682007,0.0058410005,0.012183999,0.023326
Usuwanie (Delete),4,2,36765.44,0.053353693,0.0418175,0.122711,0.19045852
Usuwanie (Delete),4,4,37283.61,0.1040384,0.075374,0.30036828,0.43480068
Usuwanie (Delete),4,8,39640.074,0.1949167,0.150911,0.47723,0.6835639
Zapis (Insert),1,1,124810.3,0.00801216,0.0051299995,0.0233165,0.03702601
Zapis (Insert),1,2,31443.201,0.057923403,0.0202,0.1179465,0.20272806
Zapis (Insert),1,4,19142.922,0.19970426,0.038647,0.31933343,0.55196464
Zapis (Insert),1,8,10732.069,0.71029377,0.118148,0.63402003,1.7815949
Zapis (Insert),2,1,135450.81,0.0073827547,0.0050000018,0.021894451,0.02858731
Zapis (Insert),2,2,51759.55,0.038342245,0.0254955,0.10576245,0.1983766
Zapis (Insert),2,4,34522.652,0.10979754,0.054408,0.31642652,0.5120481
Zapis (Insert),2,8,21963.531,0.34572595,0.124827996,0.57396555,1.171148
Zapis (Insert),4,1,133043.44,0.007516342,0.005291,0.022555,0.028106198
Zapis (Insert),4,2,45813.324,0.043045457,0.024914,0.117272995,0.20476575
Zapis (Insert),4,4,39687.895,0.09812803,0.0592015,0.3055177,0.48225686
Zapis (Insert),4,8,36319.91,0.21204714,0.134816,0.55945426,1.0562804
