Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,20.0,10.355,256.45,35.465,0.0080078125,1.72,2
Aktualizacja (Update),1,2,52.255,12.675,217.905,36.9055,0.0080078125,2.6800000000000006,2
Aktualizacja (Update),1,4,72.87,17.78,412.11,136.95,0.0078125,4.700000000000003,2
Aktualizacja (Update),1,8,60.7875,27.355,437.625,201.9375,0.02734375,25.5,4
Aktualizacja (Update),2,1,20.43,11.48,277.745,39.91,0.1000000000000014,1.7,2
Aktualizacja (Update),2,2,44.08,14.27,130.415,60.635000000000005,0.0,2.03,2
Aktualizacja (Update),2,4,81.75999999999999,19.105,250.85,141.1,0.0,4.700000000000003,2
Aktualizacja (Update),2,8,93.41333333333334,27.69666666666667,580.9766666666666,191.14,0.0,24.0,3
Aktualizacja (Update),4,1,19.445,14.305,185.295,36.48,0.0,1.7300000000000002,2
Aktualizacja (Update),4,2,43.91,17.61,239.77,55.64,0.0,2.8999999999999995,2
Aktualizacja (Update),4,4,53.35,24.33333333333333,507.0833333333333,144.76666666666668,0.0,6.900000000000002,3
Aktualizacja (Update),4,8,54.4625,32.88,755.0125,266.375,0.0,25.599999999999994,4
Odczyt (Read),1,1,13.63,9.861,187.335,31.465000000000003,0.0,0.0,2
Odczyt (Read),1,2,30.815,12.59,276.1,67.52000000000001,0.0,0.0,2
Odczyt (Read),1,4,54.07,17.78,469.18,137.35,0.0,0.0,2
Odczyt (Read),1,8,62.623333333333335,27.296666666666667,650.7766666666668,181.407,0.0,0.0,3
Odczyt (Read),2,1,14.865,11.17,198.455,37.255,0.1000000000000014,0.0,2
Odczyt (Read),2,2,34.59,14.245,279.095,73.95,0.0,0.0,2
Odczyt (Read),2,4,59.84,18.895,382.175,140.85,0.0,0.0,2
Odczyt (Read),2,8,59.61333333333334,27.626666666666665,614.9066666666666,175.60766666666666,0.0,0.0,3
Odczyt (Read),4,1,30.77,14.47,180.94,42.11,0.1000000000000085,0.0,2
Odczyt (Read),4,2,29.97,17.845,251.32,64.71000000000001,0.0,0.0,2
Odczyt (Read),4,4,59.075,23.895,245.62,107.835,0.1000000000000085,0.0,2
Odczyt (Read),4,8,54.91,33.14333333333334,644.5133333333333,220.0666666666667,0.0,0.0,3
Usuwanie (Delete),1,1,23.325,10.23,246.91,52.68000000000001,0.0080078125,0.3499999999999996,2
Usuwanie (Delete),1,2,59.510000000000005,12.66,118.36,70.44,0.0080078125,0.3999999999999986,2
Usuwanie (Delete),1,4,75.285,18.215,364.13,136.7,0.0078125,1.0,2
Usuwanie (Delete),1,8,52.645,27.01,477.745,199.4725,0.0283203125,2.9000000000000057,4
Usuwanie (Delete),2,1,26.5,11.505,217.635,56.95,0.0,0.3499999999999996,2
Usuwanie (Delete),2,2,41.02,13.885000000000002,264.38,69.295,0.0,0.5,2
Usuwanie (Delete),2,4,75.52,18.9,266.755,74.2205,0.1000000000000014,1.0,2
Usuwanie (Delete),2,8,74.06333333333333,27.8,565.97,187.81333333333336,0.0,2.6000000000000085,3
Usuwanie (Delete),4,1,20.5,14.655,334.835,59.625,0.0999999999999943,0.3399999999999998,2
Usuwanie (Delete),4,2,43.54,17.36,245.39,44.12,0.0,0.6000000000000014,2
Usuwanie (Delete),4,4,61.255,24.315,448.775,144.3,0.0,0.8999999999999986,2
Usuwanie (Delete),4,8,57.29,32.927499999999995,516.0025,212.775,0.0999999999999943,3.300000000000012,4
Zapis (Insert),1,1,27.625,9.385,300.5,36.495000000000005,0.0,0.8523046875,2
Zapis (Insert),1,2,41.815,11.915,133.585,57.11,0.0080078125,2.8199999999999994,2
Zapis (Insert),1,4,52.77666666666667,15.616666666666667,496.32666666666665,137.1,0.01162109375,6.899999999999999,3
Zapis (Insert),1,8,77.04,21.293333333333333,598.3633333333333,271.1666666666667,0.0166015625,12.500000000000004,3
Zapis (Insert),2,1,28.565,10.7,301.45000000000005,40.325,0.0,0.843515625,2
Zapis (Insert),2,2,35.955,13.05,225.415,73.63,0.0,2.9400000000000004,2
Zapis (Insert),2,4,51.72333333333333,16.959999999999997,442.7,141.06666666666666,0.0,6.199999999999999,3
Zapis (Insert),2,8,75.15666666666667,22.933333333333334,531.4133333333333,212.06,0.0,12.599999999999998,3
Zapis (Insert),4,1,23.905,13.715,294.43,42.885000000000005,0.0,0.8757421875,2
Zapis (Insert),4,2,43.655,16.265,127.57,62.92,0.0,2.79,2
Zapis (Insert),4,4,33.300000000000004,21.016666666666666,438.7466666666666,144.16666666666666,2.0999999999999943,6.899999999999999,3
Zapis (Insert),4,8,72.22666666666667,27.77333333333333,667.79,266.6666666666667,0.0,12.3,3
