Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,5101.8203,0.19600847,0.160242,0.34924787,0.47723547
Aktualizacja (Update),1,2,7488.564,0.26647076,0.23271799,0.4928636,0.6872235
Aktualizacja (Update),1,4,14297.287,0.27515787,0.2572255,0.47023255,0.6076709
Aktualizacja (Update),1,8,16655.346,0.47600448,0.4283025,0.6412672,0.80837244
Aktualizacja (Update),2,1,5039.06,0.1984497,0.16316801,0.34957054,0.488401
Aktualizacja (Update),2,2,8295.915,0.24016899,0.21496001,0.41304055,0.52615416
Aktualizacja (Update),2,4,13812.297,0.28250673,0.2651925,0.4764956,0.6147786
Aktualizacja (Update),2,8,18840.074,0.42247745,0.41060197,0.6302504,0.8253154
Aktualizacja (Update),4,1,5117.4683,0.19540912,0.162205,0.3417039,0.48968306
Aktualizacja (Update),4,2,8470.766,0.2345747,0.20998749,0.4000976,0.51306057
Aktualizacja (Update),4,4,14003.462,0.28485018,0.266181,0.4887045,0.62952787
Aktualizacja (Update),4,8,18916.656,0.4168441,0.404651,0.6219911,0.8071713
Odczyt (Read),1,1,5864.8525,0.17050728,0.142628,0.2937987,0.41262892
Odczyt (Read),1,2,10255.512,0.19419688,0.16759199,0.33229846,0.42390743
Odczyt (Read),1,4,17007.654,0.23408557,0.219411,0.4054395,0.5199553
Odczyt (Read),1,8,21017.729,0.3726693,0.364937,0.5510762,0.69392884
Odczyt (Read),2,1,5706.317,0.17524439,0.142472,0.31973308,0.44709343
Odczyt (Read),2,2,10080.809,0.19656678,0.170461,0.33683112,0.4457891
Odczyt (Read),2,4,16886.637,0.23440659,0.2200395,0.4038905,0.52065325
Odczyt (Read),2,8,22655.783,0.34949058,0.34759,0.5063377,0.59336543
Odczyt (Read),4,1,5790.029,0.1727107,0.143594,0.31615975,0.43746012
Odczyt (Read),4,2,10316.65,0.19288081,0.162135,0.33391854,0.4422282
Odczyt (Read),4,4,17053.43,0.23258246,0.216174,0.4047985,0.52623653
Odczyt (Read),4,8,22596.217,0.35154712,0.348074,0.5123373,0.61804414
Usuwanie (Delete),1,1,5209.6914,0.19194995,0.15337,0.3520098,0.468022
Usuwanie (Delete),1,2,6136.493,0.3237786,0.2929505,0.5973728,0.80520743
Usuwanie (Delete),1,4,15014.387,0.26368037,0.245456,0.4578557,0.5931183
Usuwanie (Delete),1,8,18397.45,0.42889205,0.419309,0.61817,0.7700034
Usuwanie (Delete),2,1,5235.9946,0.19098566,0.15411001,0.3470684,0.49595332
Usuwanie (Delete),2,2,9056.463,0.22059062,0.1935735,0.3774405,0.47643715
Usuwanie (Delete),2,4,15120.263,0.26267648,0.24399799,0.46080995,0.58372736
Usuwanie (Delete),2,8,19174.078,0.40784547,0.399425,0.58483815,0.69430614
Usuwanie (Delete),4,1,5410.671,0.18481997,0.152194,0.3273755,0.46537498
Usuwanie (Delete),4,2,8890.378,0.22433794,0.1984725,0.38881207,0.48953167
Usuwanie (Delete),4,4,15097.539,0.2636549,0.246522,0.45316306,0.58747214
Usuwanie (Delete),4,8,19120.727,0.40865147,0.398544,0.59055895,0.73391736
Zapis (Insert),1,1,5185.1904,0.19285695,0.159683,0.3416432,0.47423583
Zapis (Insert),1,2,8412.967,0.23716941,0.208454,0.40626055,0.52173525
Zapis (Insert),1,4,13693.451,0.29153126,0.2727375,0.49947006,0.6328874
Zapis (Insert),1,8,18860.793,0.42082432,0.412398,0.6135413,0.76249045
Zapis (Insert),2,1,5319.7197,0.18797982,0.159616,0.31634757,0.4413746
Zapis (Insert),2,2,8830.941,0.22570786,0.196118,0.37901884,0.4919255
Zapis (Insert),2,4,13916.381,0.28419435,0.2667985,0.47804952,0.62148154
Zapis (Insert),2,8,19730.365,0.40233397,0.3936315,0.58742696,0.7211632
Zapis (Insert),4,1,5163.9785,0.19364914,0.160428,0.34367365,0.48048592
Zapis (Insert),4,2,8319.413,0.23973127,0.2121895,0.417084,0.53264314
Zapis (Insert),4,4,13669.887,0.28783023,0.269229,0.4907482,0.6290382
Zapis (Insert),4,8,19774.625,0.3943,0.385836,0.5771505,0.7142697
