Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,82733.2,0.012087046,0.004870002,0.057892997,0.06738229
Aktualizacja (Update),1,2,162019.52,0.012332986,0.0048799994,0.059505,0.068473004
Aktualizacja (Update),1,4,262759.47,0.014423933,0.00557,0.066779,0.09042599
Aktualizacja (Update),1,8,486853.53,0.013815254,0.005651003,0.016652005,0.06389409
Aktualizacja (Update),2,1,83373.62,0.011994202,0.0049200025,0.05777301,0.06494828
Aktualizacja (Update),2,2,146804.78,0.013570565,0.005459995,0.058936,0.0875723
Aktualizacja (Update),2,4,267700.9,0.014817435,0.0057910075,0.067894,0.09115901
Aktualizacja (Update),2,8,496262.75,0.0153003065,0.009158,0.061201457,0.10786299
Aktualizacja (Update),4,1,80009.44,0.012498525,0.004818998,0.0583565,0.0756711
Aktualizacja (Update),4,2,152109.31,0.013020535,0.005199996,0.060760997,0.07305521
Aktualizacja (Update),4,4,280405.62,0.01418279,0.0055609997,0.067374,0.08265401
Aktualizacja (Update),4,8,406424.66,0.01818017,0.009309006,0.079709,0.117274
Odczyt (Read),1,1,8015.0747,0.124764904,0.111588,0.2017564,0.28050616
Odczyt (Read),1,2,12923.101,0.15424432,0.138704,0.23665003,0.2844951
Odczyt (Read),1,4,15253.587,0.26114374,0.147559,0.22828415,0.31550333
Odczyt (Read),1,8,15624.037,0.5105776,0.177716,0.26036614,0.41139534
Odczyt (Read),2,1,7644.1426,0.13081913,0.11379301,0.2192512,0.30302143
Odczyt (Read),2,2,12669.623,0.15757714,0.14541501,0.24273711,0.289077
Odczyt (Read),2,4,24385.61,0.16364118,0.1535355,0.22109205,0.261504
Odczyt (Read),2,8,29879.74,0.26623505,0.190466,0.26172706,0.35904405
Odczyt (Read),4,1,7979.785,0.12531666,0.112123005,0.2008505,0.2823702
Odczyt (Read),4,2,12571.513,0.15887634,0.147378,0.24453309,0.29224715
Odczyt (Read),4,4,24302.357,0.1635721,0.153295,0.221501,0.26293117
Odczyt (Read),4,8,39438.184,0.20048773,0.199071,0.26137206,0.30939612
Usuwanie (Delete),1,1,217020.45,0.004607861,0.003025998,0.00794645,0.05370509
Usuwanie (Delete),1,2,418284.9,0.0046882494,0.0029360016,0.008736052,0.055507995
Usuwanie (Delete),1,4,779867.0,0.005061188,0.0033169999,0.009848998,0.062861994
Usuwanie (Delete),1,8,1339054.0,0.005471289,0.0036769998,0.0063920016,0.028746
Usuwanie (Delete),2,1,218230.42,0.0045823124,0.0029660005,0.007153998,0.05382521
Usuwanie (Delete),2,2,428675.88,0.0046028774,0.0030160008,0.007996451,0.05601
Usuwanie (Delete),2,4,765974.94,0.005151721,0.0033469987,0.009889001,0.063204005
Usuwanie (Delete),2,8,915997.9,0.0073745726,0.0048090005,0.011662996,0.09051799
Usuwanie (Delete),4,1,216096.53,0.0046275617,0.0029560032,0.008647496,0.055961017
Usuwanie (Delete),4,2,407941.94,0.0047755647,0.0030360096,0.008778006,0.058005013
Usuwanie (Delete),4,4,665933.94,0.0055708843,0.0033469987,0.009759009,0.064990096
Usuwanie (Delete),4,8,1014714.56,0.007172764,0.0049400115,0.011833996,0.08756519
Zapis (Insert),1,1,98740.516,0.010127555,0.004820002,0.055989005,0.07493609
Zapis (Insert),1,2,166324.92,0.011900749,0.004788999,0.057763,0.06706999
Zapis (Insert),1,4,307160.8,0.0127939135,0.005511007,0.066920005,0.0801261
Zapis (Insert),1,8,567711.56,0.012212134,0.0069129965,0.022714004,0.07574701
Zapis (Insert),2,1,82653.35,0.012098723,0.0048100045,0.058324,0.078414
Zapis (Insert),2,2,166021.16,0.011943991,0.0049200025,0.058164004,0.0670321
Zapis (Insert),2,4,278502.16,0.01387057,0.005651003,0.06683101,0.088764995
Zapis (Insert),2,8,443409.53,0.016761608,0.009708994,0.074095055,0.114356086
Zapis (Insert),4,1,82464.19,0.012126476,0.004709,0.058696996,0.078807004
Zapis (Insert),4,2,162667.08,0.012184602,0.0048300135,0.058737002,0.06986909
Zapis (Insert),4,4,288803.56,0.0136215845,0.0055510025,0.06708301,0.086131
Zapis (Insert),4,8,439620.4,0.016972832,0.009138006,0.075861,0.11414501
