Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,15.445,27.79,316.065,46.93,0.0,0.0,2
Aktualizacja (Update),1,2,48.99,52.0,199.01,68.41,0.0,0.0,1
Aktualizacja (Update),1,4,76.605,100.5,497.55,111.9,0.0,0.0,2
Aktualizacja (Update),1,8,80.8,208.7,663.405,172.15,0.0,0.0,2
Aktualizacja (Update),2,1,14.145,29.465,305.86,20.625,0.0,0.0,2
Aktualizacja (Update),2,2,37.33,53.545,324.85,31.545,0.0,0.0,2
Aktualizacja (Update),2,4,37.63,101.65,537.585,90.05000000000001,0.0,0.0,2
Aktualizacja (Update),2,8,96.13,198.9,849.675,101.29,0.0,0.0,2
Aktualizacja (Update),4,1,21.95,27.81,99.78,35.69,0.0,0.0,1
Aktualizacja (Update),4,2,48.16,52.52,199.32,57.12,0.0,0.0,1
Aktualizacja (Update),4,4,41.11,100.8,691.565,101.2,0.0,0.0,2
Aktualizacja (Update),4,8,103.5,197.1,712.0350000000001,144.07,0.0,0.0,2
Odczyt (Read),1,1,40.82428571428572,27.62142857142857,61.58428571428572,46.63857142857143,0.0,0.0,7
Odczyt (Read),1,2,74.39333333333333,52.08888888888889,175.82777777777778,68.66111111111111,0.0,0.0,9
Odczyt (Read),1,4,97.68285714285716,101.16428571428573,185.90214285714288,106.88857142857144,0.0,0.0,14
Odczyt (Read),1,8,100.61307692307692,197.2923076923077,168.0096153846154,195.7076923076923,0.0,0.0,26
Odczyt (Read),2,1,41.23714285714285,29.40714285714285,58.951428571428565,29.34714285714286,0.0,0.0,7
Odczyt (Read),2,2,74.98888888888888,53.29777777777778,164.69555555555556,51.61666666666667,0.0,0.0,9
Odczyt (Read),2,4,162.6122222222222,101.66666666666669,248.1833333333333,86.61888888888888,0.0,0.0,9
Odczyt (Read),2,8,188.276,198.6533333333333,414.1913333333333,181.81333333333333,0.0,0.0,15
Odczyt (Read),4,1,41.30714285714286,28.321428571428573,93.85,35.43142857142857,0.0,0.0,7
Odczyt (Read),4,2,77.69,52.535555555555554,153.0922222222222,56.36888888888889,0.0,0.0,9
Odczyt (Read),4,4,155.54666666666668,101.13333333333333,241.9455555555556,98.62444444444444,0.0,0.0,9
Odczyt (Read),4,8,269.90272727272725,197.06363636363636,483.6872727272728,178.2609090909091,0.0,0.0,11
Usuwanie (Delete),1,1,12.23,28.31,314.5,46.14,0.0,0.0,1
Usuwanie (Delete),1,2,16.28,52.34,474.31,106.2,0.0,0.0,1
Usuwanie (Delete),1,4,61.63,100.5,592.86,112.0,0.0,0.0,1
Usuwanie (Delete),1,8,43.785,199.75,694.2049999999999,124.55,0.0,0.0,2
Usuwanie (Delete),2,1,12.52,29.68,300.6,10.23,0.0,0.0,1
Usuwanie (Delete),2,2,26.37,53.7,376.02,11.29,0.0,0.0,1
Usuwanie (Delete),2,4,64.95,101.8,387.55,11.62,0.0,0.0,1
Usuwanie (Delete),2,8,13.18,199.05,687.5450000000001,110.42,0.0,0.0,2
Usuwanie (Delete),4,1,9.71,28.1,345.3,56.32,0.0,0.0,1
Usuwanie (Delete),4,2,26.42,52.45,218.24,79.34,0.0,0.0,1
Usuwanie (Delete),4,4,56.13,100.9,292.17,59.0,0.0,0.0,1
Usuwanie (Delete),4,8,31.075,198.2,707.025,119.25,0.0,0.0,2
Zapis (Insert),1,1,17.06,23.73,315.58,46.79,0.0,0.0,1
Zapis (Insert),1,2,47.275,39.92,382.5,68.82,0.0,0.0,2
Zapis (Insert),1,4,76.005,80.68,544.76,111.4,0.0,0.0,2
Zapis (Insert),1,8,82.295,160.85,886.8,196.6,0.0,0.0,2
Zapis (Insert),2,1,20.82,29.14,98.81,9.863,0.0,0.0,1
Zapis (Insert),2,2,40.795,41.445,388.05,51.745,0.0,0.0,2
Zapis (Insert),2,4,40.05,77.975,539.735,89.735,0.0,0.0,2
Zapis (Insert),2,8,98.61,139.9,910.475,176.1,0.0,0.0,2
Zapis (Insert),4,1,20.47,26.06,305.845,35.08,0.0,0.0,2
Zapis (Insert),4,2,44.65,38.3,198.25,56.5,0.0,0.0,1
Zapis (Insert),4,4,59.745000000000005,76.89500000000001,542.735,99.74,0.0,0.0,2
Zapis (Insert),4,8,107.05,146.05,950.515,144.15,0.0,0.0,2
